instance,scenario,nodes,services,state_pairs,budget,approach,initial_score,exhaustive_score,greedy_score,absolute_gap,relative_gap_percent,optimal_hit,exhaustive_completed,exhaustive_status,theoretical_configurations,feasible_configurations,greedy_net_cost,greedy_remaining_budget,greedy_steps,greedy_reallocations,exhaustive_problog_evaluations,greedy_problog_evaluations,exhaustive_seconds,greedy_seconds,speedup
realistic_edge_cloud_network,network,2,2,6,0,downgrade-then-upgrade,0.39014148095999995,0.39014148095999995,0.39014148095999995,0.0,0.0,True,True,OPTIMAL,729,271,0,0,6,0,271,2,27.183776377000868,0.17120812900066085,158.77620143197723
realistic_edge_cloud_network,network,2,2,6,100,upgrade-then-downgrade,0.39014148095999995,0.39014148095999995,0.39014148095999995,0.0,0.0,True,True,OPTIMAL,729,395,0,100,0,0,395,2,36.34800414299934,0.1902909410000575,191.01279310499788
realistic_edge_cloud_network,network,2,2,6,100,downgrade-then-upgrade,0.39014148095999995,0.39014148095999995,0.39014148095999995,0.0,0.0,True,True,OPTIMAL,729,395,0,100,6,0,395,2,36.34800414299934,0.2030826749996777,178.98131459543276
realistic_edge_cloud_network,network,2,2,6,300,upgrade-then-downgrade,0.39014148095999995,0.47816659967999997,0.47816659967999997,0.0,0.0,True,True,OPTIMAL,729,593,280,20,2,0,593,3,52.659074914001394,0.2616085760000715,201.2895590777078
realistic_edge_cloud_network,network,2,2,6,300,downgrade-then-upgrade,0.39014148095999995,0.47816659967999997,0.47816659967999997,0.0,0.0,True,True,OPTIMAL,729,593,280,20,8,0,593,2,52.659074914001394,0.13814102400101547,381.19794821858494
realistic_edge_cloud_network,network,2,2,6,400,upgrade-then-downgrade,0.39014148095999995,0.5047026969599999,0.47816659967999997,0.02653609727999995,5.25776807610423,False,True,OPTIMAL,729,654,280,120,2,0,654,3,68.12244525699862,0.38271468299899425,177.997992455329
realistic_edge_cloud_network,network,2,2,6,400,downgrade-then-upgrade,0.39014148095999995,0.5047026969599999,0.47816659967999997,0.02653609727999995,5.25776807610423,False,True,OPTIMAL,729,654,280,120,8,0,654,2,68.12244525699862,0.19980179900085204,340.95010954685205
realistic_edge_cloud_detection,detection,2,2,6,0,upgrade-then-downgrade,0.47773762847999984,0.5089083552,0.47773762847999984,0.031170726720000153,6.125017677839091,False,True,OPTIMAL,729,261,0,0,0,0,261,2,27.783902731000126,0.19585116200141783,141.86233284027688
realistic_edge_cloud_detection,detection,2,2,6,0,downgrade-then-upgrade,0.47773762847999984,0.5089083552,0.47773762847999984,0.031170726720000153,6.125017677839091,False,True,OPTIMAL,729,261,0,0,6,0,261,2,27.783902731000126,0.19274703900009627,144.14697561702232
realistic_edge_cloud_detection,detection,2,2,6,100,upgrade-then-downgrade,0.47773762847999984,0.5490759959999999,0.5229427392,0.026133256799999893,4.7594972263183575,False,True,OPTIMAL,729,388,90,10,2,1,388,4,41.91268008800034,0.39161006799986353,107.02656420982248
realistic_edge_cloud_detection,detection,2,2,6,100,downgrade-then-upgrade,0.47773762847999984,0.5490759959999999,0.4841310700799999,0.06494492592000001,11.828039541542811,False,True,OPTIMAL,729,388,90,10,7,0,388,2,41.91268008800034,0.2322153109998908,180.49059688411353
realistic_edge_cloud_detection,detection,2,2,6,300,upgrade-then-downgrade,0.47773762847999984,0.6237300816,0.5727468095999999,0.05098327200000008,8.173931882396495,False,True,OPTIMAL,729,603,210,90,3,1,603,4,57.48583931800022,0.29474999199919694,195.03253902770874
realistic_edge_cloud_detection,detection,2,2,6,300,downgrade-then-upgrade,0.47773762847999984,0.6237300816,0.5313633696,0.09236671200000002,14.808763393784025,False,True,OPTIMAL,729,603,200,100,8,0,603,2,57.48583931800022,0.1852090659995156,310.38350637841114
realistic_edge_cloud_detection,detection,2,2,6,400,upgrade-then-downgrade,0.47773762847999984,0.6579683784,0.6409309536,0.017037424800000034,2.5893987248187234,False,True,OPTIMAL,729,666,370,30,4,1,666,4,53.53460659300072,0.33715519399993354,158.78327709526928
realistic_edge_cloud_detection,detection,2,2,6,400,downgrade-then-upgrade,0.47773762847999984,0.6579683784,0.5819694047999999,0.07599897360000007,11.550551074325014,False,True,OPTIMAL,729,666,320,80,9,0,666,2,53.53460659300072,0.16581398600101238,322.859415445654
